h2	se	P
0.0006726	0.0004360	0.1229
0.001458	0.0005402	0.006955
0.0005421	0.0004403	0.2182
0.001114	0.0005152	0.03060
0.0004271	0.0004791	0.3727
0.0004537	0.0004768	0.3413
-8.098e-05	0.0005382	0.8804
0.0009428	0.0004965	0.05758
0.0008378	0.0004857	0.08454
-0.0002031	0.0004541	0.6547
0.0008606	0.0005048	0.08823
6.492e-05	0.0004776	0.8919
0.0003740	0.0004772	0.4332
0.001327	0.0005191	0.01058
0.0008262	0.0005100	0.1052
0.0005710	0.0005144	0.2670
0.001049	0.0005911	0.07595
-7.371e-05	0.0004709	0.8756
0.001461	0.0005479	0.007664
0.001165	0.0005171	0.02426
