"N_gen","Herit_African","Sex_ratio_African","N_mut_African","N_sub_African","Theta_African","Het_African","Herit_European","Sex_ratio_European","N_mut_European","N_sub_European","Theta_European","Het_European","Herit_Asian","Sex_ratio_Asian","N_mut_Asian","N_sub_Asian","Theta_Asian","Het_Asian","mr","ms"
105100,0.00378012,0.542628,5688,698,0.524218,0.353821,0.00268619,0.512961,7885,750,0.671773,0.262278,0.00242136,0.518103,10108,770,0.839446,0.247736,2,125
105100,0.00445895,0.52128,5680,720,0.52348,0.353914,0.00289568,0.51831,7825,799,0.666661,0.239865,0.00319038,0.511929,9985,797,0.829231,0.230259,2,125
105100,0.00422591,0.526876,5716,747,0.526798,0.338768,0.00318434,0.523261,7949,793,0.677226,0.248729,0.0031132,0.520581,9933,798,0.824912,0.23612,2,125
105100,0.00424144,0.524596,5603,713,0.516384,0.349596,0.0034208,0.522265,7978,757,0.679696,0.26771,0.00290346,0.529318,10081,767,0.837203,0.241499,2,125
105100,0.00415053,0.529847,5652,696,0.5209,0.342541,0.00298734,0.51922,8071,771,0.68762,0.245208,0.00291252,0.541058,9870,768,0.81968,0.236905,2,125
105100,0.00408079,0.52501,5730,733,0.528088,0.356564,0.00305452,0.51518,8032,792,0.684297,0.260196,0.00310687,0.528625,10005,792,0.830892,0.254629,2,125
105100,0.00388296,0.523767,5622,727,0.518135,0.333417,0.00307633,0.531398,7823,789,0.666491,0.232447,0.00294246,0.520791,9901,785,0.822255,0.223405,2,125
105100,0.00429379,0.522454,5544,738,0.510946,0.343934,0.00292013,0.531854,7867,796,0.67024,0.262476,0.00279262,0.518838,10048,802,0.834463,0.242452,2,125
105100,0.00457391,0.532196,5576,711,0.513896,0.339531,0.00397126,0.521867,7948,771,0.677141,0.265318,0.00350151,0.518376,10054,777,0.834961,0.2439,2,125
105100,0.0049249,0.51748,5548,717,0.511315,0.338265,0.00373476,0.523602,7825,767,0.666661,0.243385,0.00346991,0.523374,10010,774,0.831307,0.229543,2,125
